schema_version,method_id,budget_contract,corruption_cell,stale_trace_rate,uncommitted_trace_rate,token_not_found_rate
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E7_exact_capsule_plus_semantic_fallback,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E8_fingerprint_fallback_diagnostic,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
